"Topic Behavior","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Ad Views",
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Type: All(31669469)","Wireless Headphones: All(31463106)","879448.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Home Audio and Speakers: All(31463543)","Home Audio and Speakers: All(31463543)","1877147.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Amplifiers: All(31463828)","Amplifiers: All(31463828)","117789.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Home Theater Systems: All(31463096)","Home Theater Systems: All(31463096)","242218.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Home Theater Systems: All(31463096)","2.1 Channel Systems: All(31463839)","510.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Home Theater Systems: All(31463096)","5.1 Channel Systems: All(31463840)","6821.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Home Theater Systems: All(31463096)","Sound Bars: All(31463841)","149507.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Speakers: All(31463544)","Speakers: All(31463544)","1413561.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Speakers: All(31463544)","By Brand: All(31669479)","1806451.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Home Audio and Speakers: All(31463543)","Speakers: All(31463544)","By Type: All(31669492)","1995255.0"
